127.0.0.1 - - [11/Mar/2020:23:45:45 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [11/Mar/2020:23:45:45 +0530] "GET /CustomeTagProject/ HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [11/Mar/2020:23:46:03 +0530] "GET /CustomeTagProject/date.jsp HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [11/Mar/2020:23:47:05 +0530] "GET /CustomeTagProject/date.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [11/Mar/2020:23:47:05 +0530] "GET /CustomeTagProject/date.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [11/Mar/2020:23:57:20 +0530] "GET /CustomeTagProject/date.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [11/Mar/2020:23:57:21 +0530] "GET /CustomeTagProject/date.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [11/Mar/2020:23:57:21 +0530] "GET /CustomeTagProject/date.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [11/Mar/2020:23:57:23 +0530] "GET /CustomeTagProject/date.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [11/Mar/2020:23:57:23 +0530] "GET /CustomeTagProject/date.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [11/Mar/2020:23:57:24 +0530] "GET /CustomeTagProject/date.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [11/Mar/2020:23:57:24 +0530] "GET /CustomeTagProject/date.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [11/Mar/2020:23:57:24 +0530] "GET /CustomeTagProject/date.jsp HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [11/Mar/2020:23:57:24 +0530] "GET /CustomeTagProject/date.jsp HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [11/Mar/2020:23:57:24 +0530] "GET /CustomeTagProject/date.jsp HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [11/Mar/2020:23:59:55 +0530] "GET /CustomeTagProject/date.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [11/Mar/2020:23:59:56 +0530] "GET /CustomeTagProject/date.jsp HTTP/1.1" 200 272
